"es","en","fr","de","it","pt","nl","sv","da","fi","no"
"Ejemplos cortos y patrones de uso.","Short examples and usage patterns.","Exemples courts et modèles d’utilisation.","Kurze Beispiele und Nutzungsmuster.","Esempi brevi e modelli d’uso.","Exemplos curtos e padrões de uso.","Korte voorbeelden en gebruikspatronen.","Korta exempel och användningsmönster.","Korte eksempler og brugsmønstre.","Lyhyet esimerkit ja käyttötavat.","Korte eksempler og bruksmønstre."
"Programas prácticos y fragmentos reutilizables.","Practical programs and reusable snippets.","Programmes pratiques et extraits réutilisables.","Praktische Programme und wiederverwendbare Snippets.","Programmi pratici e frammenti riutilizzabili.","Programas práticos e trechos reutilizáveis.","Praktische programma’s en herbruikbare snippets.","Praktiska program och återanvändbara kodsnuttar.","Praktiske programmer og genbrugelige uddrag.","Käytännön ohjelmat ja uudelleenkäytettävät pätkät.","Praktiske programmer og gjenbrukbare utdrag."
"Instalación","Installation","Installation","Installation","Installazione","Instalação","Installatie","Installation","Installation","Asennus","Installasjon"
"Compilación, binarios y primeros pasos.","Build, binaries and first steps.","Compilation, binaires et premiers pas.","Build, Binärdateien und erste Schritte.","Compilazione, binari e primi passi.","Compilação, binários e primeiros passos.","Build, binaries en eerste stappen.","Bygge, binärer och första steg.","Build, binærer og første trin.","Käännös, binäärit ja ensimmäiset askeleet.","Bygging, binærer og første steg."
"Enlaces","Links","Liens","Links","Link","Links","Links","Länkar","Links","Linkit","Lenker"
"Comunidad","Community","Communauté","Community","Comunità","Comunidade","Community","Community","Fællesskab","Yhteisö","Fellesskap"
"Logos es un lenguaje de programación de código abierto diseñado para la simplicidad y la elegancia.","Logos is an open-source programming language designed for simplicity and elegance.","Logos est un langage de programmation open source conçu pour la simplicité et l’élégance.","Logos ist eine Open-Source-Programmiersprache, die für Einfachheit und Eleganz entwickelt wurde.","Logos è un linguaggio di programmazione open source progettato per semplicità ed eleganza.","Logos é uma linguagem de programação de código aberto concebida para simplicidade e elegância.","Logos is een open-source programmeertaal ontworpen voor eenvoud en elegantie.","Logos är ett programmeringsspråk med öppen källkod, utformat för enkelhet och elegans.","Logos er et open source-programmeringssprog designet til enkelhed og elegance.","Logos on avoimen lähdekoodin ohjelmointikieli, suunniteltu yksinkertaisuutta ja eleganssia varten.","Logos er et åpen kildekode-programmeringsspråk designet for enkelhet og eleganse."
"Proyecto del Lenguaje Logos. Licencia MIT.","Logos Language Project. MIT License.","Projet du langage Logos. Licence MIT.","Logos-Sprachprojekt. MIT-Lizenz.","Progetto del linguaggio Logos. Licenza MIT.","Projeto da linguagem Logos. Licença MIT.","Logos-taalproject. MIT-licentie.","Logos språkprojekt. MIT-licens.","Logos sprogprojekt. MIT-licens.","Logos-kieliprojekti. MIT-lisenssi.","Logos språkprosjekt. MIT-lisens."
"Copiado","Copied","Copied","Kopiert","Copiato","Copiado","Gekopieerd","Kopierat","Kopieret","Kopioitu","Kopiert"
"Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord"
"Twitter","Twitter","Twitter","Twitter","Twitter","Twitter","Twitter","Twitter","Twitter","Twitter","Twitter"
"Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow","Stack Overflow"

